day_number|date|season|day_of_week|time_of_day|userId|movieId|location|companions|user_mood|satisfaction_score
0|2025-01-01|Winter|Wednesday|Evening|U0016|M00780|Public Transportation|Friends|Sad|0.56
0|2025-01-01|Winter|Wednesday|Morning|U0018|M00193|Home|Alone|Sad|0.34
0|2025-01-01|Winter|Wednesday|Morning|U0027|M00528|Workplace|Group|Sad|0.59
0|2025-01-01|Winter|Wednesday|Morning|U0040|M03901|Public Transportation|Alone|Neutral|0.44
0|2025-01-01|Winter|Wednesday|Night|U0063|M05429|Cinema|Partner|Neutral|0.51
0|2025-01-01|Winter|Wednesday|Evening|U0064|M05573|Workplace|Friends|Happy|0.69
0|2025-01-01|Winter|Wednesday|Night|U0079|M04481|Home|Family|Happy|0.42
0|2025-01-01|Winter|Wednesday|Night|U0081|M05062|Public Transportation|Alone|Happy|0.65
0|2025-01-01|Winter|Wednesday|Morning|U0084|M03110|Cinema|Friends|Sad|0.41
0|2025-01-01|Winter|Wednesday|Evening|U0094|M03929|Cinema|Family|Happy|0.47
1|2025-01-02|Winter|Thursday|Evening|U0020|M04372|Cinema|Friends|Sad|0.55
1|2025-01-02|Winter|Thursday|Afternoon|U0021|M04097|Workplace|Alone|Neutral|0.6
1|2025-01-02|Winter|Thursday|Evening|U0043|M02499|Home|Partner|Happy|0.53
1|2025-01-02|Winter|Thursday|Evening|U0054|M05650|Community Center|Family|Neutral|0.43
1|2025-01-02|Winter|Thursday|Morning|U0065|M02327|Public Transportation|Partner|Sad|0.58
1|2025-01-02|Winter|Thursday|Evening|U0093|M00775|Public Transportation|Partner|Neutral|0.51
2|2025-01-03|Winter|Friday|Morning|U0005|M01853|Public Transportation|Friends|Sad|0.45
2|2025-01-03|Winter|Friday|Afternoon|U0020|M04092|Community Center|Family|Neutral|0.5
2|2025-01-03|Winter|Friday|Morning|U0026|M01026|Community Center|Group|Neutral|0.62
2|2025-01-03|Winter|Friday|Evening|U0028|M01123|Public Transportation|Friends|Happy|0.5
2|2025-01-03|Winter|Friday|Night|U0043|M01151|Community Center|Partner|Happy|0.66
2|2025-01-03|Winter|Friday|Evening|U0063|M05431|Public Transportation|Alone|Sad|0.62
3|2025-01-04|Winter|Saturday|Night|U0013|M00379|Workplace|Family|Neutral|0.41
3|2025-01-04|Winter|Saturday|Night|U0022|M02356|Public Transportation|Partner|Sad|0.49
3|2025-01-04|Winter|Saturday|Morning|U0023|M02775|Workplace|Family|Happy|0.43
3|2025-01-04|Winter|Saturday|Evening|U0029|M05637|Home|Group|Happy|0.57
3|2025-01-04|Winter|Saturday|Morning|U0040|M04684|Cinema|Friends|Happy|0.48
3|2025-01-04|Winter|Saturday|Evening|U0046|M01227|Community Center|Family|Happy|0.22
3|2025-01-04|Winter|Saturday|Afternoon|U0057|M05580|Cinema|Group|Neutral|0.51
3|2025-01-04|Winter|Saturday|Morning|U0075|M04984|Workplace|Group|Sad|0.36
3|2025-01-04|Winter|Saturday|Night|U0081|M02963|Community Center|Alone|Sad|0.47
3|2025-01-04|Winter|Saturday|Night|U0095|M03869|Home|Partner|Sad|0.5
4|2025-01-05|Winter|Sunday|Morning|U0044|M02462|Public Transportation|Family|Happy|0.68
4|2025-01-05|Winter|Sunday|Night|U0046|M00141|Community Center|Family|Happy|0.53
4|2025-01-05|Winter|Sunday|Morning|U0061|M02069|Community Center|Family|Sad|0.48
4|2025-01-05|Winter|Sunday|Evening|U0064|M00969|Cinema|Family|Sad|0.57
4|2025-01-05|Winter|Sunday|Afternoon|U0067|M02689|Home|Friends|Neutral|0.51
4|2025-01-05|Winter|Sunday|Afternoon|U0075|M02888|Home|Alone|Happy|0.45
4|2025-01-05|Winter|Sunday|Afternoon|U0081|M00102|Community Center|Family|Neutral|0.62
4|2025-01-05|Winter|Sunday|Night|U0082|M05680|Cinema|Family|Happy|0.45
4|2025-01-05|Winter|Sunday|Night|U0083|M05521|Cinema|Friends|Happy|0.57
4|2025-01-05|Winter|Sunday|Night|U0087|M01610|Cinema|Alone|Sad|0.74
4|2025-01-05|Winter|Sunday|Evening|U0095|M00620|Home|Partner|Happy|0.56
5|2025-01-06|Winter|Monday|Evening|U0036|M00711|Cinema|Friends|Sad|0.38
5|2025-01-06|Winter|Monday|Night|U0044|M01485|Cinema|Family|Sad|0.57
5|2025-01-06|Winter|Monday|Evening|U0053|M03081|Home|Group|Happy|0.43
5|2025-01-06|Winter|Monday|Morning|U0088|M05208|Home|Group|Sad|0.38
